user,year,month,input,flow
dulles,2000,JANUARY,DULLES   -  S -14,0.45
dulles,2000,FEBRUARY,DULLES   -  S -14,0.42
dulles,2000,MARCH,DULLES   -  S -14,0.57
dulles,2000,APRIL,DULLES   -  S -14,0.51
dulles,2000,MAY,DULLES   -  S -14,0.60
dulles,2000,JUNE,DULLES   -  S -14,0.68
dulles,2000,JULY,DULLES   -  S -14,0.98
dulles,2000,AUGUST,DULLES   -  S -14,0.71
dulles,2000,SEPTEMBER,DULLES   -  S -14,0.61
dulles,2000,OCTOBER,DULLES   -  S -14,0.63
dulles,2000,NOVEMBER,DULLES   -  S -14,0.37
dulles,2000,DECEMBER,DULLES   -  S -14,1.34
dulles,2001,JANUARY,DULLES   -  S -14,1.34
dulles,2001,FEBRUARY,DULLES   -  S -14,0.71
dulles,2001,MARCH,DULLES   -  S -14,0.89
dulles,2001,APRIL,DULLES   -  S -14,0.73
dulles,2001,MAY,DULLES   -  S -14,1.07
dulles,2001,JUNE,DULLES   -  S -14,0.69
dulles,2001,JULY,DULLES   -  S -14,1.14
dulles,2001,AUGUST,DULLES   -  S -14,1.05
dulles,2001,SEPTEMBER,DULLES   -  S -14,0.85
dulles,2001,OCTOBER,DULLES   -  S -14,0.87
dulles,2001,NOVEMBER,DULLES   -  S -14,0.64
dulles,2001,DECEMBER,DULLES   -  S -14,1.32
dulles,2002,JANUARY,DULLES   -  S -14,1.33
dulles,2002,FEBRUARY,DULLES   -  S -14,0.93
dulles,2002,MARCH,DULLES   -  S -14,0.85
dulles,2002,APRIL,DULLES   -  S -14,0.81
dulles,2002,MAY,DULLES   -  S -14,0.92
dulles,2002,JUNE,DULLES   -  S -14,1.93
dulles,2002,JULY,DULLES   -  S -14,1.18
dulles,2002,AUGUST,DULLES   -  S -14,1.00
dulles,2002,SEPTEMBER,DULLES   -  S -14,1.09
dulles,2002,OCTOBER,DULLES   -  S -14,2.62
dulles,2002,NOVEMBER,DULLES   -  S -14,1.95
dulles,2002,DECEMBER,DULLES   -  S -14,1.85
dulles,2003,JANUARY,DULLES   -  S -14,1.22
dulles,2003,FEBRUARY,DULLES   -  S -14,1.61
dulles,2003,MARCH,DULLES   -  S -14,1.74
dulles,2003,APRIL,DULLES   -  S -14,1.16
dulles,2003,MAY,DULLES   -  S -14,1.33
dulles,2003,JUNE,DULLES   -  S -14,1.65
dulles,2003,JULY,DULLES   -  S -14,1.23
dulles,2003,AUGUST,DULLES   -  S -14,1.02
dulles,2003,SEPTEMBER,DULLES   -  S -14,1.30
dulles,2003,OCTOBER,DULLES   -  S -14,1.89
dulles,2003,NOVEMBER,DULLES   -  S -14,1.79
dulles,2003,DECEMBER,DULLES   -  S -14,2.06
dulles,2004,JANUARY,DULLES   -  S -14,0.55
dulles,2004,FEBRUARY,DULLES   -  S -14,1.29
