ID,type,name,Lat,Lon,state,capacity,date start,status,usmh,dsmh,dia,slope,length,material,shape,usstation,dsstation,unit
,manhole,413,39.0598125,-77.30266968,,,,,413,412,54,0.0005,1139,RCP,Round,9550,8400,14
,manhole,414,39.06002204,-77.30670566,,,,,414,413,54,0.0005,1149,RCP,Round,10700,9550,14
,manhole,417,39.05915008,-77.31198189,,,,,417,414,54,0.0005,1531,RCP,Round,12255,10700,14
,manhole,418,39.06251204,-77.31840091,,,,,418,417,54,0.00144,2196,RCP,Round,14447,12255,14
,manhole,419,39.06498571,-77.32049306,,,,,419,418,48,0.00113,1079,RCP,Round,15520,14447,14
,manhole,420,39.0667761,-77.32279145,,,,,420,419,48,0.00113,923,RCP,Round,16450,15520,14
,manhole,421,39.06854423,-77.32556848,,,,,421,420,48,0.00113,1018,RCP,Round,17466,16450,14
,manhole,422,39.06880506,-77.32880982,,,,,422,421,48,0.00113,925,RCP,Round,18400,17466,14
,manhole,423,39.0686511,-77.33253579,,,,,423,422,48,0.00113,1059,RCP,Round,19460,18400,14
,manhole,424,39.06905681,-77.33602553,,,,,424,423,48,0.00113,1002,RCP,Round,20460,19460,14
,manhole,425,39.0694864,-77.33974068,,,,,425,424,48,0.00113,1066,RCP,Round,21525,20460,14
